 lat, long
29.6577,-81.6595
31.071,-97.3898
31.071,-97.3898
40.1827,-81.0451
40.4845,-81.4358
40.5148,-81.6604
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.5885,-81.093
40.6829,-81.2659
40.7204,-81.5338
40.7259,-81.105
40.7259,-81.105
40.7259,-81.105
40.7483,-81.4631
40.7592,-80.7587
40.768,-81.4119
40.768,-81.4119
40.7734,-81.4913
40.7959,-81.5533
40.7959,-81.5533
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.796,-81.4315
40.7989,-81.3784
40.7989,-81.3784
40.7989,-81.3784
40.7989,-81.3784
40.8094,-81.9483
40.8094,-81.9483
40.8094,-81.9483
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.8116,-81.4973
40.812,-81.4241
40.812,-81.4241
40.8129,-81.5234
40.8134,-82.1861
40.8259,-81.3399
40.8432,-81.0769
40.8458,-81.7741
40.8458,-81.7741
40.8477,-81.2595
40.8548,-81.9255
40.8548,-81.9255
40.8548,-81.9255
40.8548,-81.9255
40.8568,-81.3293
40.8588,-81.5789
40.8588,-81.5789
40.8588,-81.5789
40.8725,-81.386
40.8838,-81.4235
40.8838,-81.4235
40.9035,-81.4333
40.9035,-81.4333
40.9035,-81.4333
40.9035,-81.4333
40.9035,-81.4333
40.9035,-81.4333
40.9035,-81.4333
40.9035,-81.4333
40.9035,-81.4333
40.9035,-81.4333
40.9035,-81.4333
40.9194,-81.3946
40.9469,-81.5541
40.9544,-81.6661
40.9618,-81.3239
40.9637,-81.4211
40.9637,-81.4211
40.9637,-81.4211
40.9637,-81.4211
40.9791,-81.5347
40.9857,-81.4929
40.9857,-81.4929
40.9857,-81.4929
40.9857,-81.4929
40.9857,-81.4929
40.9857,-81.4929
40.9857,-81.4929
40.9857,-81.4929
40.9857,-81.4929
40.9857,-81.4929
40.9882,-81.4053
40.9882,-81.4053
40.9882,-81.4053
41.0038,-81.6089
41.0038,-81.6089
41.0038,-81.6089
41.0038,-81.6089
41.0038,-81.6089
41.0112,-81.6174
41.0176,-81.6382
41.0197,-81.6212
41.0197,-81.6212
41.0252,-80.6687
41.0252,-80.6687
41.0252,-80.6687
41.0252,-80.6687
41.0252,-80.6687
41.0253,-81.6998
41.0304,-81.3933
41.0304,-81.3933
41.0304,-81.3933
41.0334,-81.4385
41.0334,-81.4385
41.0334,-81.4385
41.0382,-81.4913
41.0382,-81.4913
41.039,-81.5757
41.039,-81.5757
41.039,-81.5757
41.039,-81.5757
41.039,-81.5757
41.039,-81.5757
41.041,-81.48
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.0413,-81.6072
41.044,-81.525
41.0449,-81.52
41.0449,-81.52
41.0449,-81.52
41.0449,-81.52
41.0479,-81.4916
41.0479,-81.4916
41.0479,-81.4916
41.0479,-81.4916
41.0479,-81.4916
41.0506,-81.3974
41.0591,-81.7637
41.064,-81.4773
41.064,-81.4773
41.064,-81.4773
41.0644,-81.5762
41.0644,-81.5762
41.0644,-81.5762
41.0732,-81.4916
41.0732,-81.4916
41.0732,-81.4916
41.0749,-81.579
41.0749,-81.579
41.076,-81.4644
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.08,-81.52
41.0805,-81.4598
41.0835,-81.5674
41.0835,-81.5674
41.0835,-81.5674
41.0835,-81.5674
41.0835,-81.5674
41.0835,-81.5674
41.0835,-81.5674
41.0835,-81.5674
41.0927,-81.6446
41.0927,-81.6446
41.0995,-81.2026
41.0995,-81.2026
41.1002,-81.6443
41.1009,-81.4553
41.1009,-81.4553
41.1009,-81.4553
41.1009,-81.4553
41.1009,-81.4553
41.1009,-81.4553
41.1009,-81.4553
41.1009,-81.4553
41.1011,-81.4516
41.1011,-81.4516
41.1011,-81.4516
41.1017,-81.457
41.1017,-81.457
41.1017,-81.457
41.1017,-81.457
41.1017,-81.457
41.1017,-81.457
41.1035,-81.1526
41.1035,-81.1526
41.1035,-81.1526
41.1035,-81.1526
41.1035,-81.1526
41.1035,-81.1526
41.1035,-81.1526
41.1035,-81.1526
41.1068,-81.6438
41.1075,-81.5006
41.1075,-81.5006
41.122,-81.5685
41.1243,-81.2421
41.1243,-81.2421
41.1243,-81.2421
41.1243,-81.2421
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1259,-81.508
41.1361,-81.7196
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1397,-81.4811
41.1399,-81.8671
41.1404,-81.8584
41.1404,-81.8584
41.1449,-81.3498
41.1449,-81.3498
41.1449,-81.3498
41.1464,-81.5107
41.148,-81.343
41.1554,-81.2567
41.163,-80.6637
41.1649,-81.2337
41.1666,-80.6635
41.2111,-81.8416
41.2423,-82.1279
41.2464,-81.3585
41.2464,-81.3585
41.2464,-81.3585
41.2464,-81.3585
41.2464,-81.3585
41.2464,-81.3585
41.2464,-81.3585
41.2464,-81.3585
41.2464,-81.3585
41.2637,-82.3782
41.2655,-81.1063
41.2655,-81.1063
41.3103,-81.0722
41.4185,-81.7202
41.4185,-81.7202
41.4185,-81.7202
41.4185,-81.7202
41.4185,-81.7202
41.4185,-81.7202
41.4185,-81.7202
41.4185,-81.7202
41.4283,-81.5274
41.4283,-81.5274
41.4283,-81.5274
41.6426,-81.4701
27.2866,-82.477
27.2866,-82.477
27.2866,-82.477
27.2866,-82.477
27.2866,-82.477
27.2866,-82.477
27.2866,-82.477
29.6577,-81.6595
31.2317,-84.2071
31.5105,-84.3087
31.5393,-83.8607
31.55,-84.061
31.5789,-84.2118
31.6608,-84.1603
31.6812,-84.1593
31.7559,-84.3001
32.4672,-83.6128
33.7792,-84.4118
33.7792,-84.4118
33.7792,-84.4118
33.7792,-84.4118
33.7792,-84.4118
33.7792,-84.4118
33.7792,-84.4118
33.7792,-84.4118
33.7792,-84.4118
33.7792,-84.4118
